taz,parkingType,pricingModel,chargingType,numStalls,feeInCents,ReservedFor
101157,Residential,Block,NoCharger,412,0.0,Any
100831,Residential,Block,NoCharger,139,0.0,Any
100831,Workplace,Block,NoCharger,17,0.0,Any
100692,Residential,Block,NoCharger,256,0.0,Any
100692,Workplace,Block,NoCharger,106,0.0,Any
201542,Public,Block,NoCharger,1000000,0.0,Any
201542,Residential,Block,NoCharger,465,0.0,Any
201542,Workplace,Block,NoCharger,1000000,0.0,Any
201552,Public,Block,NoCharger,1000000,0.0,Any
201552,Residential,Block,NoCharger,397,0.0,Any
201552,Workplace,Block,NoCharger,1000000,0.0,Any
100827,Residential,Block,NoCharger,456,0.0,Any
10001O,Public,Block,NoCharger,32,885.61682,Any
10001O,Public,Block,NoCharger,312,269.6431,Any
10001O,Residential,Block,NoCharger,8,0.0,Any
100511,Residential,Block,NoCharger,242,0.0,Any
10001L,Public,Block,NoCharger,34,885.61682,Any
10001L,Public,Block,NoCharger,230,269.6431,Any
10001L,Residential,Block,NoCharger,8,0.0,Any
10001N,Public,Block,NoCharger,41,885.61682,Any
10001N,Public,Block,NoCharger,150,269.6431,Any
10001N,Residential,Block,NoCharger,11,0.0,Any
100366,Residential,Block,NoCharger,388,0.0,Any
100212,Public,Block,NoCharger,85,130.0,Any
100212,Public,Block,NoCharger,122,95.0,Any
100212,Public,Block,NoCharger,50,0.0,Any
100212,Residential,Block,NoCharger,660,0.0,Any
100194,Public,Block,NoCharger,500,256.36072,Any
100194,Residential,Block,NoCharger,362,0.0,Any
10001V,Public,Block,NoCharger,40,716.27252,Any
10001V,Residential,Block,NoCharger,41,0.0,Any
10001P,Public,Block,NoCharger,3,885.61682,Any
10001P,Residential,Block,NoCharger,3,0.0,Any
10009E,Public,Block,NoCharger,39,981.7764300000001,Any
10009E,Public,Block,NoCharger,816,237.35252000000003,Any
10009E,Residential,Block,NoCharger,47,0.0,Any
10009A,Public,Block,NoCharger,110,981.7764300000001,Any
10009A,Public,Block,NoCharger,311,237.35252000000003,Any
10009A,Residential,Block,NoCharger,47,0.0,Any
10001R,Public,Block,NoCharger,34,716.27252,Any
10001R,Residential,Block,NoCharger,40,0.0,Any
100367,Public,Block,NoCharger,12,123.0,Any
100367,Residential,Block,NoCharger,409,0.0,Any
201414,Public,Block,NoCharger,1000000,0.0,Any
201414,Residential,Block,NoCharger,264,0.0,Any
201414,Workplace,Block,NoCharger,1000000,0.0,Any
10001C,Public,Block,NoCharger,23,885.61682,Any
10001C,Public,Block,NoCharger,500,269.6431,Any
10001C,Residential,Block,NoCharger,10,0.0,Any
201411,Public,Block,NoCharger,1000000,0.0,Any
201411,Residential,Block,NoCharger,1186,0.0,Any
201411,Workplace,Block,NoCharger,1000000,0.0,Any
100369,Public,Block,NoCharger,176,129.92776,Any
100369,Public,Block,NoCharger,606,0.0,Any
100369,Residential,Block,NoCharger,525,0.0,Any
100369,Workplace,Block,NoCharger,153,0.0,Any
10001E,Public,Block,NoCharger,24,885.61682,Any
10001E,Residential,Block,NoCharger,5,0.0,Any
10001D,Public,Block,NoCharger,13,885.61682,Any
10001D,Residential,Block,NoCharger,5,0.0,Any
100211,Public,Block,NoCharger,144,130.0,Any
100211,Public,Block,NoCharger,138,95.0,Any
100211,Residential,Block,NoCharger,627,0.0,Any
201292,Public,Block,NoCharger,1000000,0.0,Any
201292,Residential,Block,NoCharger,772,0.0,Any
201292,Workplace,Block,NoCharger,1000000,0.0,Any
201322,Public,Block,NoCharger,1000000,0.0,Any
201322,Residential,Block,NoCharger,868,0.0,Any
201322,Workplace,Block,NoCharger,1000000,0.0,Any
100097,Public,Block,NoCharger,80,981.7764300000001,Any
100097,Residential,Block,NoCharger,52,0.0,Any
100097,Workplace,Block,NoCharger,285,0.0,Any
100199,Public,Block,NoCharger,4,933.15295,Any
100199,Public,Block,NoCharger,405,256.36072,Any
100199,Residential,Block,NoCharger,570,0.0,Any
10009D,Public,Block,NoCharger,25,981.7764300000001,Any
10009D,Public,Block,NoCharger,210,237.35252000000003,Any
10009D,Residential,Block,NoCharger,44,0.0,Any
10001K,Public,Block,NoCharger,21,932.83514,Any
10001K,Residential,Block,NoCharger,5,0.0,Any
10001J,Public,Block,NoCharger,9,932.83514,Any
10001J,Public,Block,NoCharger,100,284.01965,Any
10001J,Residential,Block,NoCharger,2,0.0,Any
100095,Public,Block,NoCharger,48,1085.43726,Any
100095,Public,Block,NoCharger,219,262.41342000000003,Any
100095,Residential,Block,NoCharger,29,0.0,Any
10001S,Public,Block,NoCharger,29,716.27252,Any
10001S,Public,Block,NoCharger,700,218.08298,Any
10001S,Residential,Block,NoCharger,37,0.0,Any
10001U,Public,Block,NoCharger,46,716.27252,Any
10001U,Public,Block,NoCharger,83,0.0,Any
10001U,Residential,Block,NoCharger,40,0.0,Any
100092,Public,Block,NoCharger,35,1085.43726,Any
100092,Public,Block,NoCharger,285,262.41342000000003,Any
100092,Residential,Block,NoCharger,17,0.0,Any
100018,Public,Block,NoCharger,15,885.61682,Any
100018,Public,Block,NoCharger,96,269.6431,Any
100018,Residential,Block,NoCharger,3,0.0,Any
100353,Public,Block,NoCharger,15,102.0,Any
100353,Public,Block,NoCharger,155,75.0,Any
100353,Residential,Block,NoCharger,1073,0.0,Any
10001B,Public,Block,NoCharger,7,885.61682,Any
10001B,Public,Block,NoCharger,342,269.6431,Any
10001B,Residential,Block,NoCharger,4,0.0,Any
100015,Public,Block,NoCharger,22,885.61682,Any
100015,Public,Block,NoCharger,60,269.6431,Any
100015,Residential,Block,NoCharger,4,0.0,Any
10001I,Public,Block,NoCharger,17,932.83514,Any
10001I,Public,Block,NoCharger,410,284.01965,Any
10001I,Residential,Block,NoCharger,4,0.0,Any
201321,Public,Block,NoCharger,1000000,0.0,Any
201321,Residential,Block,NoCharger,465,0.0,Any
201321,Workplace,Block,NoCharger,1000000,0.0,Any
100096,Public,Block,NoCharger,131,1085.43726,Any
100096,Public,Block,NoCharger,11,262.41342000000003,Any
100096,Residential,Block,NoCharger,31,0.0,Any
100096,Workplace,Block,NoCharger,87,0.0,Any
407010,Public,Block,NoCharger,1000000,0.0,Any
407010,Residential,Block,NoCharger,1172,0.0,Any
