taz,parkingType,pricingModel,chargingType,numStalls,feeInCents,ReservedFor
1,Public,Block,NoCharger,167,932.83514,Any
1,Public,Block,NoCharger,5,0.0,Any
1,Public,Block,NoCharger,1478,284.01965,Any
1,Public,Block,NoCharger,213,0.0,Any
1,Residential,Block,NoCharger,16,0.0,Any
1,Public,Block,NoCharger,1478,284.01965,Any
1,Public,Block,NoCharger,213,0.0,Any
1,Public,Block,WorkLevel2(7.2|AC),1,298.41965,Any
1,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
1,Residential,Block,HomeLevel2(7.2|AC),1,1.8,Any
1,Residential,Block,HomeLevel1(1.8|AC),1,0.45,Any
2,Public,Block,NoCharger,265,885.61682,Any
2,Public,Block,NoCharger,6,0.0,Any
2,Public,Block,NoCharger,1812,269.6431,Any
2,Public,Block,NoCharger,226,0.0,Any
2,Residential,Block,NoCharger,40,0.0,Any
2,Public,Block,NoCharger,1812,269.6431,Any
2,Public,Block,NoCharger,226,0.0,Any
2,Public,Block,WorkLevel2(7.2|AC),1,284.0431,Any
2,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
2,Residential,Block,HomeLevel2(7.2|AC),1,1.8,Any
2,Residential,Block,HomeLevel1(1.8|AC),1,0.45,Any
3,Public,Block,NoCharger,135,716.27252,Any
3,Public,Block,NoCharger,31,0.0,Any
3,Public,Block,NoCharger,479,218.08298,Any
3,Public,Block,NoCharger,91,0.0,Any
3,Residential,Block,NoCharger,76,0.0,Any
3,Public,Block,NoCharger,479,218.08298,Any
3,Public,Block,NoCharger,91,0.0,Any
3,Public,Block,WorkLevel2(7.2|AC),1,232.48298,Any
3,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
3,Residential,Block,HomeLevel2(7.2|AC),1,1.8,Any
3,Residential,Block,HomeLevel1(1.8|AC),1,0.45,Any
4,Public,Block,NoCharger,132,314.0,Any
4,Public,Block,NoCharger,3,0.0,Any
4,Public,Block,NoCharger,1509,191.0,Any
4,Public,Block,NoCharger,137,0.0,Any
4,Residential,Block,NoCharger,56,0.0,Any
4,Public,Block,NoCharger,1509,191.0,Any
4,Public,Block,NoCharger,137,0.0,Any
4,Public,Block,WorkLevel2(7.2|AC),1,205.4,Any
4,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
4,Residential,Block,HomeLevel2(7.2|AC),1,1.8,Any
4,Residential,Block,HomeLevel1(1.8|AC),1,0.45,Any
5,Public,Block,NoCharger,284,314.01431,Any
5,Public,Block,NoCharger,36,0.0,Any
5,Public,Block,NoCharger,3884,191.0087,Any
5,Public,Block,NoCharger,589,0.0,Any
5,Residential,Block,NoCharger,179,0.0,Any
5,Public,Block,NoCharger,3884,191.0087,Any
5,Public,Block,NoCharger,589,0.0,Any
5,Public,Block,WorkLevel2(7.2|AC),1,205.4087,Any
5,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
5,Residential,Block,HomeLevel2(7.2|AC),1,1.8,Any
5,Residential,Block,HomeLevel1(1.8|AC),1,0.45,Any
6,Public,Block,NoCharger,198,546.0,Any
6,Public,Block,NoCharger,22,0.0,Any
6,Public,Block,NoCharger,709,150.0,Any
6,Public,Block,NoCharger,83,0.0,Any
6,Residential,Block,NoCharger,602,0.0,Any
6,Public,Block,NoCharger,709,150.0,Any
6,Public,Block,NoCharger,83,0.0,Any
6,Public,Block,WorkLevel2(7.2|AC),1,164.4,Any
6,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
6,Residential,Block,HomeLevel2(7.2|AC),1,1.8,Any
6,Residential,Block,HomeLevel1(1.8|AC),1,0.45,Any
7,Public,Block,NoCharger,205,933.2415800000001,Any
7,Public,Block,NoCharger,8,0.0,Any
7,Public,Block,NoCharger,1385,318.85754,Any
7,Public,Block,NoCharger,108,0.0,Any
7,Residential,Block,NoCharger,1043,0.0,Any
7,Public,Block,NoCharger,1385,318.85754,Any
7,Public,Block,NoCharger,108,0.0,Any
7,Public,Block,WorkLevel2(7.2|AC),1,333.25753999999995,Any
7,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
7,Residential,Block,HomeLevel2(7.2|AC),1,1.8,Any
7,Residential,Block,HomeLevel1(1.8|AC),1,0.45,Any
8,Public,Block,NoCharger,353,529.59387,Any
8,Public,Block,NoCharger,96,0.0,Any
8,Public,Block,NoCharger,1004,138.6747,Any
8,Public,Block,NoCharger,184,0.0,Any
8,Residential,Block,NoCharger,1233,0.0,Any
8,Public,Block,NoCharger,1004,138.6747,Any
8,Public,Block,NoCharger,184,0.0,Any
8,Public,Block,WorkLevel2(7.2|AC),1,153.0747,Any
8,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
8,Residential,Block,HomeLevel2(7.2|AC),1,1.8,Any
8,Residential,Block,HomeLevel1(1.8|AC),1,0.45,Any
9,Public,Block,Custom(150.0|DC),4,481.05391,Any
9,Public,Block,NoCharger,885,299.21539,Any
9,Public,Block,NoCharger,61,0.0,Any
9,Public,Block,NoCharger,2784,181.05391,Any
9,Public,Block,NoCharger,345,0.0,Any
9,Residential,Block,NoCharger,1525,0.0,Any
9,Public,Block,NoCharger,2788,181.05391,Any
9,Public,Block,NoCharger,345,0.0,Any
9,Public,Block,WorkLevel2(7.2|AC),1,195.45391,Any
9,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
9,Residential,Block,HomeLevel2(7.2|AC),2,1.8,Any
9,Residential,Block,HomeLevel1(1.8|AC),1,0.45,Any
10,Public,Block,NoCharger,471,277.92566,Any
10,Public,Block,NoCharger,53,0.0,Any
10,Public,Block,NoCharger,1463,90.6058,Any
10,Public,Block,NoCharger,217,0.0,Any
10,Residential,Block,NoCharger,1416,0.0,Any
10,Public,Block,NoCharger,1463,90.6058,Any
10,Public,Block,NoCharger,217,0.0,Any
10,Public,Block,WorkLevel2(7.2|AC),1,105.00580000000001,Any
10,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
10,Residential,Block,HomeLevel2(7.2|AC),2,1.8,Any
10,Residential,Block,HomeLevel1(1.8|AC),2,0.45,Any
11,Public,Block,Custom(150.0|DC),1,416.0,Any
11,Public,Block,NoCharger,422,259.0,Any
11,Public,Block,NoCharger,88,0.0,Any
11,Public,Block,NoCharger,3892,116.0,Any
11,Public,Block,NoCharger,795,0.0,Any
11,Residential,Block,NoCharger,735,0.0,Any
11,Public,Block,NoCharger,3893,116.0,Any
11,Public,Block,NoCharger,795,0.0,Any
11,Public,Block,WorkLevel2(7.2|AC),1,130.4,Any
11,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
11,Residential,Block,HomeLevel2(7.2|AC),1,1.8,Any
11,Residential,Block,HomeLevel1(1.8|AC),1,0.45,Any
12,Public,Block,Custom(150.0|DC),2,503.38792,Any
12,Public,Block,NoCharger,307,893.98761,Any
12,Public,Block,NoCharger,21,0.0,Any
12,Public,Block,NoCharger,2392,203.38792,Any
12,Public,Block,NoCharger,284,0.0,Any
12,Residential,Block,NoCharger,247,0.0,Any
12,Public,Block,NoCharger,2394,203.38792,Any
12,Public,Block,NoCharger,284,0.0,Any
12,Public,Block,WorkLevel2(7.2|AC),1,217.78792,Any
12,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
12,Residential,Block,HomeLevel2(7.2|AC),1,1.8,Any
12,Residential,Block,HomeLevel1(1.8|AC),1,0.45,Any
14,Public,Block,NoCharger,88,981.7764300000001,Any
14,Public,Block,NoCharger,1,0.0,Any
14,Public,Block,NoCharger,1943,237.35252000000003,Any
14,Public,Block,NoCharger,164,0.0,Any
14,Residential,Block,NoCharger,139,0.0,Any
14,Public,Block,NoCharger,1943,237.35252000000003,Any
14,Public,Block,NoCharger,164,0.0,Any
14,Public,Block,WorkLevel2(7.2|AC),1,251.75252000000003,Any
14,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
14,Residential,Block,HomeLevel2(7.2|AC),1,1.8,Any
14,Residential,Block,HomeLevel1(1.8|AC),1,0.45,Any
15,Public,Block,NoCharger,158,1085.43726,Any
15,Public,Block,NoCharger,6,0.0,Any
15,Public,Block,NoCharger,1503,262.41342000000003,Any
15,Public,Block,NoCharger,183,0.0,Any
15,Residential,Block,NoCharger,80,0.0,Any
15,Public,Block,NoCharger,1503,262.41342000000003,Any
15,Public,Block,NoCharger,183,0.0,Any
15,Public,Block,WorkLevel2(7.2|AC),1,276.81342,Any
15,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
15,Residential,Block,HomeLevel2(7.2|AC),1,1.8,Any
15,Residential,Block,HomeLevel1(1.8|AC),1,0.45,Any
16,Public,Block,NoCharger,1425,532.0228900000001,Any
16,Public,Block,NoCharger,147,0.0,Any
16,Public,Block,NoCharger,5522,164.00706,Any
16,Public,Block,NoCharger,898,0.0,Any
16,Residential,Block,NoCharger,1683,0.0,Any
16,Public,Block,NoCharger,5522,164.00706,Any
16,Public,Block,NoCharger,898,0.0,Any
16,Public,Block,WorkLevel2(7.2|AC),1,178.40706,Any
16,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
16,Residential,Block,HomeLevel2(7.2|AC),4,1.8,Any
16,Residential,Block,HomeLevel1(1.8|AC),3,0.45,Any
17,Public,Block,NoCharger,468,477.0,Any
17,Public,Block,NoCharger,458,0.0,Any
17,Public,Block,NoCharger,1161,109.0,Any
17,Public,Block,NoCharger,964,0.0,Any
17,Residential,Block,NoCharger,2288,0.0,Any
17,Public,Block,NoCharger,1161,109.0,Any
17,Public,Block,NoCharger,964,0.0,Any
17,Public,Block,WorkLevel2(7.2|AC),1,123.4,Any
17,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
17,Residential,Block,HomeLevel2(7.2|AC),3,1.8,Any
17,Residential,Block,HomeLevel1(1.8|AC),2,0.45,Any
18,Public,Block,NoCharger,256,273.0,Any
18,Public,Block,NoCharger,429,0.0,Any
18,Public,Block,NoCharger,944,95.0,Any
18,Public,Block,NoCharger,984,0.0,Any
18,Residential,Block,NoCharger,599,0.0,Any
18,Public,Block,NoCharger,944,95.0,Any
18,Public,Block,NoCharger,984,0.0,Any
18,Public,Block,WorkLevel2(7.2|AC),1,109.4,Any
18,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
18,Residential,Block,HomeLevel2(7.2|AC),1,1.8,Any
18,Residential,Block,HomeLevel1(1.8|AC),1,0.45,Any
19,Public,Block,NoCharger,382,225.01944,Any
19,Public,Block,NoCharger,515,0.0,Any
19,Public,Block,NoCharger,1680,82.00709,Any
19,Public,Block,NoCharger,1827,0.0,Any
19,Residential,Block,NoCharger,454,0.0,Any
19,Public,Block,NoCharger,1680,82.00709,Any
19,Public,Block,NoCharger,1827,0.0,Any
19,Public,Block,WorkLevel2(7.2|AC),1,96.40709000000001,Any
19,Public,Block,WorkLevel2(7.2|AC),1,14.4,Any
19,Residential,Block,HomeLevel2(7.2|AC),1,1.8,Any
19,Residential,Block,HomeLevel1(1.8|AC),1,0.45,Any
