id,rideHailManagerId,vehicleType,initialLocationX,initialLocationY,shifts,geofenceX,geofenceY,geofenceRadius
rideHailVehicle-026303-2013000882280-0-1456532, GlobalRHM, Car,548386.7329,4176019.948,{10:25200};{25300:80000},,,
rideHailVehicle-010900-2013000949422-0-4882436, GlobalRHM, Car,550654.0883,4181943.086,{10:25200};{25300:80000},,,
rideHailVehicle-030202-2016000025297-0-5404272, GlobalRHM, Car,544003.4952,4178195.093,{10:25200};{25300:80000},,,
rideHailVehicle-013400-2015001096767-0-8070175, GlobalRHM, Car,544995.9982,4178435.051,{10:25200};{25300:80000},,,
rideHailVehicle-061100-2016000747949-0-1577021, GlobalRHM, Car,552696.61,4179317.452,{10:25200};{25300:80000},,,
rideHailVehicle-017000-2015000497455-0-3102598, GlobalRHM, Car,544875.011,4181387.493,{10:25200};{25300:80000},,,
rideHailVehicle-016801-2012000035208-0-6028469, GlobalRHM, Car,546465.4394,4180131.865,{10:25200};{25300:80000},,,
rideHailVehicle-032700-2016001305358-0-2605704, GlobalRHM, Car,540840.2281,4174744.951,{10:25200};{25300:80000},,,
rideHailVehicle-032801-2016001006825-0-4133017, GlobalRHM, Car,545711.7767,4176207.973,{10:25200};{25300:80000},,,
rideHailVehicle-021800-2012001178100-1-6422122, GlobalRHM, Car,551235.9572,4180900.981,{10:25200};{25300:80000},,,
rideHailVehicle-033000-2013001140814-1-4636710, GlobalRHM, Car,545738.6741,4179806.868,{10:25200};{25300:80000},,,
rideHailVehicle-021200-2016000359631-0-5009575, GlobalRHM, Car,552718.6956,4179990.301,{10:25200};{25300:80000},,,
rideHailVehicle-032602-2016001358668-0-7062544, GlobalRHM, Car,540981.0841,4181737.673,{10:25200};{25300:80000},,,
rideHailVehicle-023003-2013000382737-0-1583442, GlobalRHM, Car,552685.912,4174728.394,{10:25200};{25300:80000},,,
rideHailVehicle-035100-2015000185832-2-6296708, GlobalRHM, Car,539542.3137,4181527.59,{10:25200};{25300:80000},,,
rideHailVehicle-032700-2012000996623-1-6679642, GlobalRHM, Car,548125.2857,4176921.541,{10:25200};{25300:80000},,,
rideHailVehicle-010400-2015000635660-0-1449953, GlobalRHM, Car,550608.2541,4181297.207,{10:25200};{25300:80000},,,
rideHailVehicle-020700-2013000080675-0-5008510, GlobalRHM, Car,546337.0172,4177708.211,{10:25200};{25300:80000},,,
rideHailVehicle-035400-2016000410053-0-7952895, GlobalRHM, Car,544309.4245,4176135.735,{10:25200};{25300:80000},,,
rideHailVehicle-030600-2015000935210-0-1713070, GlobalRHM, Car,549625.3466,4179873.04,{10:25200};{25300:80000},,,
rideHailVehicle-033000-2014000885580-0-2095584, GlobalRHM, Car,545335.8695,4172908.953,{10:25200};{25300:80000},,,
rideHailVehicle-061400-2015001458133-0-1700975, GlobalRHM, Car,553543.9554,4175766.7,{10:25200};{25300:80000},,,
rideHailVehicle-012501-2016000706115-0-5135691, GlobalRHM, Car,555714.2915,4184402.262,{10:25200};{25300:80000},,,
rideHailVehicle-045200-2016000926749-0-1961625, GlobalRHM, Car,550960.4189,4183674.851,{10:25200};{25300:80000},,,
rideHailVehicle-012100-2016000719449-0-7174934, GlobalRHM, Car,552515.1664,4182393.332,{10:25200};{25300:80000},,,
rideHailVehicle-026001-2015000132478-0-3111506, GlobalRHM, Car,549141.7101,4178531,{10:25200};{25300:80000},,,
rideHailVehicle-035202-2015000355565-0-1206637, GlobalRHM, Car,544081.6268,4175573.908,{10:25200};{25300:80000},,,
rideHailVehicle-030800-2016000227368-1-2604010, GlobalRHM, Car,545105.0194,4175913.965,{10:25200};{25300:80000},,,
rideHailVehicle-031400-2014000788156-0-569465, GlobalRHM, Car,552138.9559,4175662.195,{10:25200};{25300:80000},,,
rideHailVehicle-021500-2014001179105-0-2211138, GlobalRHM, Car,553828.365,4178852.877,{10:25200};{25300:80000},,,
rideHailVehicle-017000-2013001124342-0-6284029, GlobalRHM, Car,545796.9233,4180528.352,{10:25200};{25300:80000},,,
rideHailVehicle-010800-2014000742242-0-1067812, GlobalRHM, Car,554148.5148,4186850.102,{10:25200};{25300:80000},,,
rideHailVehicle-033000-2014000025730-0-3112773, GlobalRHM, Car,546854.7443,4176519.116,{10:25200};{25300:80000},,,
rideHailVehicle-012301-2013000721346-0-1955286, GlobalRHM, Car,550738.2278,4186868.168,{10:25200};{25300:80000},,,
rideHailVehicle-035201-2015001379985-0-6168297, GlobalRHM, Car,542059.859,4173774.752,{10:25200};{25300:80000},,,
rideHailVehicle-031400-2014000788156-0-569459, GlobalRHM, Car,549494.8482,4171121.28,{10:25200};{25300:80000},,,
rideHailVehicle-030800-2016000227368-1-2604013, GlobalRHM, Car,548304.2051,4172551.321,{10:25200};{25300:80000},,,
rideHailVehicle-016300-2013000560401-0-3485056, GlobalRHM, Car,550546.4408,4182228.914,{10:25200};{25300:80000},,,
rideHailVehicle-033100-2015001057865-0-7697767, GlobalRHM, Car,543416.7068,4177972.437,{10:25200};{25300:80000},,,
rideHailVehicle-061500-2013001018912-0-6409905, GlobalRHM, Car,549412.1186,4181306.886,{10:25200};{25300:80000},,,
rideHailVehicle-032601-2013001043506-0-442533, GlobalRHM, Car,547914.6247,4174357.663,{10:25200};{25300:80000},,,
rideHailVehicle-015500-2014000174901-0-3612082, GlobalRHM, Car,547283.1083,4184928.555,{10:25200};{25300:80000},,,
rideHailVehicle-016400-2014000107126-0-2340766, GlobalRHM, Car,549059.2404,4178834.518,{10:25200};{25300:80000},,,
rideHailVehicle-061400-2013001270771-1-557154, GlobalRHM, Car,553848.5238,4178471.094,{10:25200};{25300:80000},,,
rideHailVehicle-017601-2014001104232-0-2335945, GlobalRHM, Car,556167.8446,4177172.311,{10:25200};{25300:80000},,,
rideHailVehicle-020700-2013000080675-0-5008509, GlobalRHM, Car,550917.1984,4182222.86,{10:25200};{25300:80000},,,
rideHailVehicle-010500-2015001345120-1-5265742, GlobalRHM, Car,557332.4348,4188269.791,{10:25200};{25300:80000},,,
rideHailVehicle-010900-2016000805028-0-5382981, GlobalRHM, Car,551020.6779,4181023.491,{10:25200};{25300:80000},,,
rideHailVehicle-020200-2016000071368-0-6796355, GlobalRHM, Car,552224.551,4178133.267,{10:25200};{25300:80000},,,
rideHailVehicle-035100-2012000390561-0-7061060, GlobalRHM, Car,546464.8373,4178345.697,{10:25200};{25300:80000},,,
rideHailVehicle-026302-2012000031464-0-3110559, GlobalRHM, Car,549115.4721,4168794.091,{10:25200};{25300:80000},,,
rideHailVehicle-017601-2014000027259-0-5644037, GlobalRHM, Car,554006.5955,4178565.763,{10:25200};{25300:80000},,,
rideHailVehicle-030700-2016000221287-0-5529916, GlobalRHM, Car,544304.7863,4172395.308,{10:25200};{25300:80000},,,
rideHailVehicle-012000-2012001332565-0-4117867, GlobalRHM, Car,553007.3513,4177542.228,{10:25200};{25300:80000},,,
rideHailVehicle-031400-2014000788156-0-569461, GlobalRHM, Car,551419.7977,4173007.3,{10:25200};{25300:80000},,,
rideHailVehicle-021500-2012000035208-0-5135911, GlobalRHM, Car,553196.5274,4179535.507,{10:25200};{25300:80000},,,
rideHailVehicle-021600-2014000354590-0-1447925, GlobalRHM, Car,552738.999,4175912.035,{10:25200};{25300:80000},,,
rideHailVehicle-042601-2012001371043-0-1069015, GlobalRHM, Car,548586.0305,4176136.329,{10:25200};{25300:80000},,,
rideHailVehicle-016400-2016001071577-0-7053902, GlobalRHM, Car,551172.3221,4184606.166,{10:25200};{25300:80000},,,
rideHailVehicle-026303-2016000613976-0-7696441, GlobalRHM, Car,553632.8104,4177657.577,{10:25200};{25300:80000},,,
rideHailVehicle-033000-2015000751741-0-5785963, GlobalRHM, Car,540715.6868,4181540.366,{10:25200};{25300:80000},,,
rideHailVehicle-025600-2013000213997-0-5654484, GlobalRHM, Car,549185.3644,4176378.567,{10:25200};{25300:80000},,,
rideHailVehicle-021800-2013000077130-0-7568752, GlobalRHM, Car,550296.2876,4175539.023,{10:25200};{25300:80000},,,
rideHailVehicle-023001-2014000339233-0-313370, GlobalRHM, Car,549837.3816,4179381.802,{10:25200};{25300:80000},,,
rideHailVehicle-026401-2014000056046-0-4001549, GlobalRHM, Car,547601.7399,4169907.825,{10:25200};{25300:80000},,,
rideHailVehicle-022903-2016000105103-0-6154415, GlobalRHM, Car,555726.7439,4174836.462,{10:25200};{25300:80000},,,
rideHailVehicle-026200-2012000899249-0-6805560, GlobalRHM, Car,551117.842,4175481.888,{10:25200};{25300:80000},,,
rideHailVehicle-010900-2013000290674-0-2594085, GlobalRHM, Car,551462.0918,4184047.965,{10:25200};{25300:80000},,,
rideHailVehicle-010100-2013001163188-0-6030634, GlobalRHM, Car,555888.3372,4184801.962,{10:25200};{25300:80000},,,
rideHailVehicle-013300-2013000524563-0-8071128, GlobalRHM, Car,552833.7372,4178489.742,{10:25200};{25300:80000},,,
rideHailVehicle-033000-2012001101876-1-1076123, GlobalRHM, Car,541743.9251,4177634.189,{10:25200};{25300:80000},,,
rideHailVehicle-017000-2014000310991-0-3736867, GlobalRHM, Car,544454.2862,4175596.871,{10:25200};{25300:80000},,,
rideHailVehicle-012000-2012001332565-0-4117869, GlobalRHM, Car,547455.1586,4183311.559,{10:25200};{25300:80000},,,
rideHailVehicle-016300-2015000074476-0-3233214, GlobalRHM, Car,547523.2482,4175810.261,{10:25200};{25300:80000},,,
rideHailVehicle-033100-2015001057865-0-7697766, GlobalRHM, Car,542858.8548,4180450.154,{10:25200};{25300:80000},,,
rideHailVehicle-033204-2015000312571-0-6550923, GlobalRHM, Car,541748.0549,4176344.164,{10:25200};{25300:80000},,,
rideHailVehicle-025402-2016000097817-0-2466527, GlobalRHM, Car,546954.7764,4172496.384,{10:25200};{25300:80000},,,
rideHailVehicle-020600-2016000427518-3-1957849, GlobalRHM, Car,551668.9022,4178033.127,{10:25200};{25300:80000},,,
rideHailVehicle-013102-2013000343063-0-5647074, GlobalRHM, Car,548719.2677,4178668.255,{10:25200};{25300:80000},,,
rideHailVehicle-020100-2013001461505-0-4626542, GlobalRHM, Car,553654.4296,4183741.617,{10:25200};{25300:80000},,,
rideHailVehicle-035100-2014000315414-0-2478039, GlobalRHM, Car,542727.9445,4174859.655,{10:25200};{25300:80000},,,
rideHailVehicle-010900-2012001140018-0-5010101, GlobalRHM, Car,546341.872,4181004.648,{10:25200};{25300:80000},,,
rideHailVehicle-022802-2012001386215-0-6282252, GlobalRHM, Car,551498.7055,4183297.404,{10:25200};{25300:80000},,,
rideHailVehicle-023300-2015001029325-0-3238748, GlobalRHM, Car,553859.1943,4174399.089,{10:25200};{25300:80000},,,
rideHailVehicle-010600-2015000498519-0-4365619, GlobalRHM, Car,551462.4007,4188121.182,{10:25200};{25300:80000},,,
rideHailVehicle-023102-2014001060732-0-4890077, GlobalRHM, Car,557165.8763,4173402.526,{10:25200};{25300:80000},,,
rideHailVehicle-030102-2016000915765-0-7316429, GlobalRHM, Car,546153.8069,4176778.741,{10:25200};{25300:80000},,,
rideHailVehicle-035100-2015000185832-2-6296707, GlobalRHM, Car,539679.7853,4177120.573,{10:25200};{25300:80000},,,
rideHailVehicle-013102-2013000091344-1-5264972, GlobalRHM, Car,546474.9472,4183553.449,{10:25200};{25300:80000},,,
