,ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4,Date
0,400000,101,S,4,41,52582.0,19.23,459.835,38.081498,-122.547963,0.415,ML,4,N of 37 / 101 Interchange,DT5A2,L4-S-27-101-01923,101482,424150,2015_01_10
1,400001,101,N,4,85,68000.0,38.26,387.897,37.364085,-121.901149,0.445,ML,5,NB 880 RM-N-CONN,DT697,L5-N-37-101-03826,998145,426518,2015_01_10
2,400002,101,S,4,81,68252.0,14.67,416.893,37.584097,-122.328465,0.31,ML,5,Peninsula Ave OC,DT243,L5-S-35-101-01467,106296,426945,2015_01_10
3,400006,880,S,4,1,81204.0,13.54,23.767,37.605003,-122.065542,0.34,ML,4,Whipple Rd rm-s-diag,DTA20,L4-S-33-880-01354,998415,421858,2015_01_10
4,400007,101,N,4,81,68252.0,15.25,417.437,37.586936,-122.337721,0.365,ML,5,2000' N of Pennisula Ave,DT275,L5-N-35-101-01525,999325,426427,2015_01_10
5,400009,80,W,4,1,6000.0,5.7,11.01,37.864883,-122.303345,0.3,ML,5,oppo University Ave off-e-diag,DT321,L5-W-33-080-00570,997005,427288,2015_01_10
6,400010,101,N,4,81,,20.27,422.457,37.629765,-122.402365,0.47,ML,4,San Bruno Ave off-n-diag,DT1A9,L4-N-35-101-02027,106341,422356,2015_01_10
7,400011,101,S,4,41,52582.0,16.15,456.755,38.041862,-122.536533,0.225,ML,5,2600' N of Miller Creek Rd,DT556,L5-S-27-101-01615,103468,426595,2015_01_10
8,400014,101,N,4,85,68000.0,27.22,376.491,37.245818,-121.775473,0.29,ML,5,Bernal rd  rm-n-diag,DT770,L5-N-37-101-02722,998217,422542,2015_01_10
9,400015,84,W,4,1,26000.0,3.09,33.15,37.534901,-122.076575,0.875,ML,3,2200' W OF TOLL PLAZA,DT817,L3-W-33-084-00309,184106,418841,2015_01_10
