person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype,age_16_to_19,age_16_p,adult,male,female,has_non_worker,has_retiree,has_preschool_kid,has_driving_kid,has_school_kid,has_full_time,has_part_time,has_university,student_is_employed,nonstudent_to_school,is_student,is_gradeschool,is_highschool,is_university,school_segment,is_worker,home_taz,value_of_time,school_taz,school_taz_logsum,distance_to_school,roundtrip_auto_time_to_school,workplace_taz,workplace_location_logsum,distance_to_work,workplace_in_cbd,work_taz_area_type,roundtrip_auto_time_to_work,work_auto_savings,work_auto_savings_ratio,free_parking_at_work,cdap_activity,travel_active,under16_not_at_school,has_preschool_kid_at_home,has_school_kid_at_home,mandatory_tour_frequency,work_and_school_and_worker,work_and_school_and_student,num_mand,num_work_tours,num_joint_tours,non_mandatory_tour_frequency,num_non_mand,num_escort_tours,num_eatout_tours,num_shop_tours,num_maint_tours,num_discr_tours,num_social_tours,num_non_escort_tours,in_Zone
1,1,60,1,2,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,9,7.30783826942201,-1,NA,NA,0,460,11.342631601969932,34.69,FALSE,4,77.16,1310.44,1,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
2,1,86,2,1,3,3,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,9,7.30783826942201,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,TRUE
3,1,34,3,2,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,9,7.30783826942201,-1,NA,NA,0,79,11.297336563407812,7.83,FALSE,3,23.72,289.47998,1,FALSE,M,TRUE,FALSE,FALSE,FALSE,work2,FALSE,FALSE,2,2,0,0,0,0,0,0,0,0,0,0,TRUE
4,1,16,4,1,2,1,6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2,TRUE,9,4.874328125704481,65,5.201955140421327,6.75,20.72,71,11.131469362361337,7.73,FALSE,3,22.74,286.46,1,TRUE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,TRUE
5,1,10,5,1,4,1,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,9,4.874328125704481,9,10.402779044638716,0.23,1.38,-1,NA,NA,FALSE,NA,0,0,0,FALSE,M,TRUE,FALSE,FALSE,FALSE,school1,FALSE,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,TRUE
26434,8001,55,1,1,1,3,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,118,7.7981765510683445,-1,NA,NA,0,460,10.469866141702354,21.39,FALSE,4,50.18,-46.2892,-0.38574332,TRUE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,2,0,0,0,0,0,1,0,1,0,TRUE
26435,8001,53,2,2,3,3,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,118,7.7981765510683445,-1,NA,NA,0,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,2,64,2,2,0,0,0,0,0,0,TRUE
26436,8001,18,3,1,2,3,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,118,7.7981765510683445,-1,NA,NA,0,256,10.566743641614494,13.89,FALSE,3,35.5,-33.0272,-0.27522665,FALSE,N,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,0,0,2,16,1,0,0,1,0,0,0,1,TRUE
26437,8001,14,4,2,4,1,7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,118,5.201383759562586,118,10.994651268302253,0.26,1.56,-1,NA,NA,FALSE,NA,0,0,0,FALSE,N,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,TRUE
43566,14065,44,1,2,1,3,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,957,1.5548384344791755,-1,NA,NA,0,969,13.396511846570009,0.62,FALSE,5,4.84,19.960001,0.16633335,FALSE,M,TRUE,FALSE,FALSE,FALSE,work1,FALSE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,TRUE
