trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,destination_logsum,depart,trip_mode,mode_choice_logsum,in_Zone
641,1,1,80,work,1,TRUE,2,othdiscr,356,9,6.862581042384077,5,SHARED2FREE,-1.014682109908284,TRUE
642,1,1,80,work,2,TRUE,2,work,460,356,NA,6,SHARED2FREE,0.05464739996259559,TRUE
645,1,1,80,work,1,FALSE,2,othmaint,240,460,6.320581602718572,15,DRIVEALONEFREE,0.10414198956190193,TRUE
646,1,1,80,work,2,FALSE,2,Home,9,240,NA,15,DRIVEALONEFREE,-0.7251041683276952,TRUE
481,2,1,60,shopping,1,TRUE,1,shopping,38,9,NA,10,SHARED2FREE,-0.005730608978567968,TRUE
485,2,1,60,shopping,1,FALSE,1,Home,9,38,NA,10,SHARED2FREE,0.01152699024568035,TRUE
1297,3,1,162,work,1,TRUE,1,work,79,9,NA,8,DRIVEALONEFREE,-0.5839914519811482,TRUE
1301,3,1,162,work,1,FALSE,1,Home,9,79,NA,17,DRIVEALONEFREE,-0.5841998201765567,TRUE
1305,3,1,163,work,1,TRUE,2,work,46,9,9.857446779803283,17,DRIVEALONEFREE,-0.4709407996323562,TRUE
1306,3,1,163,work,2,TRUE,2,work,79,46,NA,17,DRIVEALONEFREE,-0.18922699518693817,TRUE
1309,3,1,163,work,1,FALSE,1,Home,9,79,NA,17,DRIVEALONEFREE,-0.5841998201765567,TRUE
1561,4,1,195,school,1,TRUE,1,school,65,9,NA,9,DRIVEALONEFREE,-0.7028348428937577,TRUE
1565,4,1,195,school,1,FALSE,1,Home,9,65,NA,17,DRIVEALONEFREE,-0.7028303482037509,TRUE
1889,5,1,236,school,1,TRUE,1,school,9,9,NA,11,WALK,-1.0619272136184035,TRUE
1893,5,1,236,school,1,FALSE,1,Home,9,9,NA,15,WALK,-1.0619272136184035,TRUE
1211289,3692,990,151411,work,1,TRUE,1,work,516,35,NA,5,DRIVEALONEFREE,-2.3205987462396616,TRUE
1211293,3692,990,151411,work,1,FALSE,2,work,178,516,6.00406007952847,8,DRIVEALONEFREE,-1.5759149327932862,TRUE
1211294,3692,990,151411,work,2,FALSE,2,Home,35,178,NA,16,DRIVEALONEFREE,-1.3485808579374188,TRUE
1211617,3693,990,151452,work,1,TRUE,1,work,46,35,NA,9,DRIVEALONEFREE,-0.021158952832088556,TRUE
1211621,3693,990,151452,work,1,FALSE,2,work,32,46,12.177963438037365,16,DRIVEALONEFREE,-0.17097582073545928,TRUE
1211622,3693,990,151452,work,2,FALSE,2,Home,35,32,NA,20,DRIVEALONEFREE,-0.016988201580416102,TRUE
1211857,3694,990,151482,othmaint,1,TRUE,1,othmaint,46,35,NA,13,SHARED3FREE,2.3301213020787244,TRUE
1211861,3694,990,151482,othmaint,1,FALSE,1,Home,35,46,NA,13,SHARED3FREE,2.330123892576165,TRUE
1211833,3694,990,151479,othdiscr,1,TRUE,1,othdiscr,51,35,NA,16,SHARED3FREE,1.8923279472782764,TRUE
1211837,3694,990,151479,othdiscr,1,FALSE,1,Home,35,51,NA,16,SHARED3FREE,1.892326751237207,TRUE
1211681,3694,990,151460,eatout,1,TRUE,1,eatout,63,35,NA,18,SHARED2FREE,1.4680767984199987,TRUE
1211705,3694,990,151463,escort,1,TRUE,1,escort,62,35,NA,18,SHARED3FREE,2.026195315438648,TRUE
1211709,3694,990,151463,escort,1,FALSE,1,Home,35,62,NA,18,SHARED3FREE,2.026195315438648,TRUE
1211685,3694,990,151460,eatout,1,FALSE,1,Home,35,63,NA,19,SHARED2FREE,1.4680819513002297,TRUE
1212273,3695,990,151534,work,1,TRUE,1,work,367,35,NA,8,DRIVEALONEFREE,-1.945689328131313,TRUE
1212277,3695,990,151534,work,1,FALSE,2,shopping,398,367,4.4741842749878415,17,DRIVEALONEFREE,-0.4689378455423699,TRUE
1212278,3695,990,151534,work,2,FALSE,2,Home,35,398,NA,17,DRIVEALONEFREE,-1.8863996177460942,TRUE
1212537,3696,990,151567,school,1,TRUE,1,school,35,35,NA,8,WALK,-0.5912870322274407,TRUE
1212541,3696,990,151567,school,1,FALSE,1,Home,35,35,NA,15,WALK,-0.5912870322274407,TRUE
1212817,3697,990,151602,othdiscr,1,TRUE,1,othdiscr,69,35,NA,13,WALK,-4.334277750460588,TRUE
1212821,3697,990,151602,othdiscr,1,FALSE,1,Home,35,69,NA,13,WALK,-4.333053809876433,TRUE
2498361,7616,2188,312295,work,1,TRUE,1,work,32,42,NA,8,DRIVEALONEFREE,-0.12941424197582452,TRUE
2498081,7616,2188,312260,atwork,1,TRUE,1,atwork,34,32,NA,12,SHARED3FREE,3.6850508344985897,TRUE
2498085,7616,2188,312260,atwork,1,FALSE,2,escort,76,34,24.769974816445746,13,SHARED3FREE,3.616263622999746,TRUE
