taz,coord-x,coord-y
710,425979.4497283607,4505829.269752273
205,422058.41092114814,4564567.1152048875
45,433943.86827638303,4625676.631232648
515,425780.50970051746,4513003.536175958
1210,443090.7280455501,4455859.2931373
574,424778.79411751014,4510748.317022421
977,421896.0675157113,4486243.631532074
1262,444153.0818152978,4453442.604264567
858,423043.67574589135,4495896.473862996
98,432619.66169944283,4619143.36181519
619,427412.9394612587,4508990.183963158
507,420751.4076552254,4513154.89900857
113,429059.45048892725,4617096.496900934
34,429734.5482342539,4627847.02482352
563,427207.61156517954,4511301.351343646
381,422987.0799990668,4542085.532930624
1182,440927.61860956246,4457696.272034818
874,415484.5943163855,4495372.3869223595
455,425859.0454346803,4514911.596205282
624,424563.7165941766,4508696.672179165
67,431910.93074277346,4623165.874535748
388,420916.4524872809,4535623.843348015
974,425321.83687163086,4486563.8354392415
310,412347.04729717,4557216.25990584
169,418833.0953278672,4569998.4065761035
444,427327.29570138396,4517418.142591644
817,415155.24657618895,4499139.68407753
120,428374.4652774028,4614048.950439002
193,414103.72285296523,4566011.259886308
713,423884.29609941953,4505861.561569298
302,418406.4255655723,4558380.904304529
153,415412.0551971258,4573301.633060467
844,415051.9300712074,4497497.7751419125
335,409048.14894035703,4552404.389061323
885,413525.9927561226,4494306.881418065
735,419621.967906628,4504729.6953087095
664,425003.1114855629,4507881.787745976
93,429931.7762807802,4620720.659478494
158,407713.1119591551,4572273.886510813
1267,445390.46886715107,4453184.461425629
458,419888.51110744994,4515317.980007575
142,413517.3162952005,4576599.326005606
997,426495.4180936905,4483205.155637364
182,417094.2781344692,4567216.036433639
147,417911.93795767496,4574472.101630497
686,413541.306546537,4507262.687309558
616,424782.9516606359,4509493.772693311
589,425036.9258363887,4510390.444204473
544,424800.30720085977,4512035.908730591
436,422443.61314952443,4519412.156312168
862,427851.0987716054,4495819.586087474
1227,444028.98634393845,4455064.154377495
836,426790.42777143937,4498083.540688464
697,427354.9219071673,4506515.082668941
777,420736.73535162566,4502286.412903351
12,430974.27802611777,4637718.496315918
1101,441019.0551108797,4465021.830571921
223,418849.05813671194,4563913.8835659
541,424084.7445770979,4512043.540402831
66,431504.67624835216,4623179.858224479
822,419095.8531522765,4499047.486312188
1278,444868.0382641371,4448819.802535327
1193,443581.1955156633,4456696.896278004
216,417921.53641658614,4564179.641083068
89,431659.98835582926,4621082.800972307
51,433274.1947628921,4625350.301779763
963,422293.30477875855,4487782.592102199
768,423339.15900140506,4502980.71973298
925,412473.782204577,4491067.630072068
1238,441327.8840505293,4454496.365576869
608,428397.3251808597,4509469.085258527
124,428317.96457406756,4611459.404095951
84,432311.2451223124,4621724.3899080055
833,429490.95936739806,4498334.995127811
638,428870.7610307879,4508643.007379843
1123,440158.6906840759,4462597.622823393
8,403598.25741129357,4650065.932548515
689,411951.444891314,4507125.842999272
400,426595.91976998746,4528770.565125868
73,430633.48157834646,4622385.688044673
941,429340.81718843256,4489633.075289979
411,424522.27065028175,4526328.178793465
620,426938.94283177657,4508883.82233371
1035,432928.3367729145,4473153.485382299
307,412721.2027451292,4557223.436689887
981,418896.17095780175,4486164.589773363
1339,437548.5209645056,4434154.367814677
678,425013.83222343924,4507271.083910427
501,424823.6237202879,4513501.114195371
519,424818.6648562453,4513012.683446887
276,417873.0205299893,4560616.131641637
1086,419716.64493054326,4466705.448106888
1224,442715.66941396095,4454630.003704355
1161,440921.78686872567,4459305.649196221
164,415577.602250558,4570968.137220524
170,419967.39628884936,4568797.812724978
1108,438965.1612849857,4464227.77238443
425,424786.3703835917,4523115.656308191
813,422054.4563560324,4499763.594650517
1351,438382.62040499673,4430963.856035018
78,431912.646115375,4622315.43776819
1172,440100.8027068226,4458524.226454251
881,426222.32771844073,4494525.683721561
526,424577.36663286266,4512526.655987866
1249,441774.2610885141,4453904.593013105
794,379358.09166191105,4495278.7596407905
649,425987.4725885394,4508327.070513333
675,426924.31821569713,4507262.122399113
993,422053.5511612481,4483384.254064195
447,421929.23414999666,4515984.492397947
952,422945.076120659,4488564.040031784
461,421935.88712477946,4515007.447295382
324,409078.3899748814,4554835.610786271
1147,440096.1883286009,4460156.910902102
1198,440934.7468001014,4456663.440056923
332,409058.2278020569,4553214.795309344
175,418091.26544780174,4568840.898324183
19,428277.637419324,4632220.082930226
313,416666.03357570025,4556277.461826498
918,426198.80899273837,4491295.399437877
1289,450045.6086385376,4446430.730405505
724,408732.1700962717,4505721.439624285
362,416045.33305304166,4547524.298883308
1216,443566.3266510271,4455766.916978493
265,414059.3565380719,4561537.211073466
1208,444038.2944136421,4456318.411957377
806,419476.67291306396,4500679.204533026
1329,446223.7532730671,4438700.403273609
100,430537.2657720592,4619462.6107823495
732,417543.691764407,4505551.8261619955
23,417900.8913846983,4631782.006976598
847,419864.2354982418,4497411.095844679
433,420641.7148474592,4519450.936168759
62,429437.49600418605,4623232.489583886
552,419884.2382749396,4511623.160211502
321,419502.75939631986,4555534.960062322
1235,445361.35464216396,4454592.062702514
580,425518.1844602593,4510385.59223735
929,418978.3888817059,4490615.445725013
1340,445418.7256155641,4433237.145972359
537,419155.71055889444,4512350.596652153
135,426211.7737148571,4594199.213185357
896,422173.7429544994,4492557.4950739285
128,432570.0091050199,4609023.997151786
4,438739.0428002071,4649967.393941672
1250,442650.47360763804,4453897.882712641
869,418221.7772728046,4495827.084979488
121,430614.1303766585,4613988.293719711
343,410640.6684643144,4550797.017322259
404,424905.77676602086,4527399.833103252
523,426501.93153109844,4512507.307834769
829,423608.73442032223,4498770.522185329
88,430610.15359821566,4621532.160508046
1328,441178.23079867085,4438891.601713904
598,410327.70033139153,4510487.091314708
1131,440704.6178960532,4461771.868671071
421,424034.6793906073,4523800.57888921
702,408784.51013342617,4506542.369938133
450,431269.7170187303,4515958.547012211
1003,427809.4155229184,4480674.047906829
1001,420331.95668203,4482563.354260722
77,432331.3592905151,4622356.322906311
415,426552.0728630809,4526271.600881264
40,428615.2929320341,4625485.592530156
770,430481.3519546391,4502044.650074215
1261,443706.7846198487,4453446.1420840975
534,428078.18611434277,4512269.799625648
1171,439386.2108673436,4458474.4391564345
955,426916.53245668596,4488512.991484843
985,427103.19997020054,4483497.383608014
593,429368.3126001265,4510336.79944767
674,426693.05198208784,4507076.674720242
1290,447397.1869392652,4446459.674648521
1213,440775.2526080965,4455142.503442144
318,412997.9383826925,4556209.199461151
378,421177.35891829076,4543470.358365644
798,423087.30509801034,4500696.4831456235
1165,444646.44563331176,4459222.189935441
418,426194.5254470629,4524844.454310144
1082,438010.41471303307,4468997.624621767
